Sub,PVT_Pre,PVT_Post,MAX_digit_in_pre_sleep_DST,TrialRTB
Sub01,0.316346604,0.293040049,5,9
Sub02,0.261694609,0.252881376,5,3
Sub03,0.277462189,0.267703209,5,3
Sub04,0.294318247,0.30474234,8,NA
Sub05,0.333368262,0.303790671,5,3
Sub06,0.260847249,0.247457216,8,34
Sub07,0.321434844,0.318544411,6,22
Sub08,0.26017256,0.260415129,6,6
Sub09,0.28950516,0.286681762,5,5
Sub10,0.245410282,0.242118202,7,13
Sub11,0.255799362,0.257471478,7,9
Sub12,0.327540922,0.308669949,5,11
Sub13,0.330882304,0.296427669,5,3
Sub14,0.273446691,0.273763651,7,11
Sub15,0.326823327,0.334177849,6,20
Sub16,0.262565371,0.270673451,9,15
Sub17,0.246185844,0.243578782,7,13
Sub18,0.281515293,0.304266224,6,76
Sub19,0.255407391,0.246206304,7,5
Sub20,0.288341558,0.286207407,6,18
Sub21,0.408253393,0.363564347,8,26
Sub22,0.267778116,0.304916902,7,7
Sub23,0.242040787,0.265412838,5,3
Sub24,0.281571811,0.289556029,6,8
Sub25,0.3032722,0.272519553,7,19
Sub26,0.26238378,0.241872822,5,3
Sub27,0.258667893,0.274415993,7,17
Sub28,0.342684633,0.285413898,5,3
Sub29,0.288912867,0.320921578,7,5
Sub30,0.289010367,0.294012727,6,6
Sub31,0.304063822,0.38728016,7,43
Sub32,0.322623278,0.28886006,6,38
Sub33,0.238658698,0.275887856,5,3
Sub34,0.279186231,0.302780213,6,14
Sub35,0.280653956,0.264159258,6,38
Sub36,0.25604324,0.26817506,7,17
Sub37,0.267179751,0.263118929,7,5
Sub38,0.242321949,0.25096262,5,5
Sub39,0.30583552,0.296934762,6,6
Sub40,0.282852476,0.324350973,5,3
Sub41,0.278718391,0.251179553,5,15
Sub42,0.280135067,0.321678198,8,8
Sub43,0.27069046,0.261207629,7,47
Sub44,0.282432576,0.256091013,7,33
Sub45,0.284830867,0.311765823,6,8
Sub46,0.2645475,0.241635436,8,38
Sub47,0.294610144,0.243734571,7,5
Sub48,0.299163116,0.287563856,6,10
Sub49,0.270605067,0.286163442,6,23
Sub50,0.338947496,0.299329722,7,17
Sub51,0.284712618,0.288397689,6,12
Sub52,0.244845191,0.245122571,4,2
Sub53,0.37970702,0.289522938,6,10
Sub54,0.268514671,0.254845627,5,3
Sub55,0.287753264,0.326249729,5,5
Sub56,0.231656571,0.226061142,5,5
Sub57,0.316434498,0.283925538,6,NA
Sub58,0.313926048,0.285604389,7,9
Sub59,0.310889578,0.252814716,6,6
Sub60,0.284989084,0.270949971,6,8
Sub61,0.331299347,0.316410782,6,38
Sub62,0.366648436,0.32788292,9,15
Sub63,0.297909747,0.284769747,6,4
Sub64,0.329265973,0.375152567,8,36
