Sub,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Sub01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub03,6.308801831,6.337923784,6.363437371,6.349817714,6.404389497,6.391504359,6.351516457,6.366839748,6.276553825,6.258381337,6.370920682,6.3627495,6.31312868,6.385443845,6.240358455,6.202687991,6.315735979,6.153544953,6.221653082,6.280360893,6.317185136,6.242853138,6.186177348,6.234804417,6.273571894,6.243097201,6.223820451,6.131998012,6.274603583,6.298238435
Sub04,5.424833846,5.153937926,4.933857068,4.923093418,5.073486624,5.197331638,5.06773812,4.903991676,4.942440895,4.786317201,5.175709448,4.884496056,4.793887636,4.804689402,4.674970748,4.758301024,4.580092637,4.778274615,4.566282882,4.963052547,5.15849237,5.125992861,4.924169243,4.779927133,4.840240071,5.010292614,4.888380129,4.67702862,4.92784306,5.033465328
Sub05,5.727995924,5.571,5.2345,5.148,5.877597222,6.0838,5.277924242,4.6447,5.658833333,4.1345,5.389833333,4.8165,5.1465,4.894,4.744457143,5.019092105,5.643883333,5.758428571,5.12825,5.259875,5.272166667,5.71490566,4.690369498,5.608267857,4.94475,5.737,4.986,4.624880952,4.336375,5.311875
Sub06,5.386155267,5.482007443,5.54472573,5.42475849,5.447188204,5.574175218,5.728071999,5.666761662,5.451403599,5.513301637,5.250852966,5.450633397,5.143811052,5.063912273,5.283112598,4.958058127,4.908511615,4.943494381,5.187401943,5.018763114,4.909140334,5.269160541,5.264980922,5.434105796,5.402267369,5.370615376,5.285215804,5.275202154,5.041017574,5.313979446
Sub07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub08,5.089,4.8205,5.008333333,4.4125,4.645,5.33925,5.6,5.2215,5.0393,5.2907,4.599,5.0035,4.91925,4.61,5.014,4.904,5.34,4.966625,5.166,5.3095,5.0986,4.65675,5.1415,5.0815,4.636125,4.801666667,5.229,3.875,4.644,5.00075
Sub09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub13,5.618785649,5.538861908,5.558772358,5.475499279,5.730147538,5.470613135,5.413887377,5.141871063,5.050301249,5.151696082,4.706513196,4.725064143,4.641116666,4.811296034,4.919441596,5.232187802,4.887379448,5.115426819,5.311176007,5.216876796,5.113629299,4.655368804,5.191731373,4.836099462,4.621463798,4.899202703,5.105682051,4.724874656,4.506638851,4.722893915
Sub14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub15,5.7065,5.588062568,5.519088373,5.765624198,5.760442291,5.898383929,6.030819695,5.861347197,5.800339118,5.761508449,5.783435749,5.732002981,5.694222472,5.628486488,5.58884033,5.480604134,5.467439226,5.697554786,5.599481975,5.444713395,5.243365044,5.444128408,5.522187914,5.626390359,5.758335616,5.599674574,5.371002635,5.56440617,5.82651001,5.273144547
Sub16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub17,5.429920401,5.273281949,5.334023483,5.257119226,5.130034793,5.275280003,5.266311013,5.319995137,5.355255717,5.195857943,5.370850316,5.334450404,5.199681218,5.044688024,5.322481547,5.291267765,5.188225531,5.205542495,5.041625364,5.209477388,5.092044688,5.089654368,5.205285874,5.351851296,5.35827466,5.221611538,5.311057808,5.225172147,4.977453712,5.086954689
Sub18,6.161484016,6.189710174,6.236543523,6.143580913,6.031530006,6.037211263,6.080971761,5.967302865,6.027020286,5.878573207,5.9101849,5.746859628,5.830918214,5.795983259,5.955906265,5.877110481,5.725385257,5.639916059,5.736240502,5.929054607,5.721779649,5.928176428,5.864233215,5.797921772,5.788927433,5.878246424,5.879422859,5.813410212,5.908735347,5.506334147
Sub19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
