Sub,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Sub01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub04,4.223204853,4.446428291,4.413646749,4.448970865,4.593174886,4.611212273,4.78521229,4.63506787,4.81047424,4.765673271,4.869291313,4.891037971,4.887719346,4.984868435,4.770236994,4.974809424,5.177558588,5.327262211,5.332281132,5.298384563,5.268466266,5.061633261,4.976230114,5.023725493,5.249231788,5.064519735,5.144622284,5.093737938,5.185153906,4.95605982,5.149674117,5.170917975,4.835449113,5.124610912,5.174847359,5.404791054,5.349725395,5.29124678,5.281745966,5.103351817,5.07532263,5.213437626,5.181144597,5.190910518,5.220569563,5.315768543,5.232408321,5.376129066,5.156974016,5.255345023,5.165729708,5.246173315,5.428335628,5.422433821,5.286330658,5.363109147,5.277822548,5.133722514,5.251144875,5.322357458,5.241965562,5.27325115,5.349974147,5.268410589,5.220804648,5.221352667,5.083926677,5.197237485,5.171915372,5.307674009,5.132229024,4.937247527,5.114706718,5.148003918,5.078212251,5.135950385,5.07600536,5.00036144,4.9262799,5.161126093,5.186102544,5.261490282,5.243075404,4.999723929,5.071020892,4.946119831,5.132688601,5.069579031,5.11992793,4.792348711
Sub05,3.998896035,4.079264894,4.50847341,4.406697867,4.68971455,4.689871693,4.616276398,4.983223404,5.068201613,4.809695652,4.893863158,5.247230769,5.348761628,5.091586207,5.302337209,5.257640625,5.295190476,5.315316092,5.082588337,5.606441176,5.253911616,5.25221,5.646672462,5.317588,5.502323843,5.3187,5.078690909,4.755472222,5.167,5.413855128,NA,6.050375,4.44571875,6.004051282,4.833071429,6.002857143,6.213,5.8505,5.37225,4.894,5.33525,4.619777778,5.368590164,5.435,4.420825,5.390842105,5.65825,5.1545,5.780866667,4.779857143,5.394277778,5.990333333,6.086,5.271,5.647833333,5.5365,6.0385,5.685777778,4.4835,5.865978261,6.152666667,6.2745,6.4415,6.50925,6.50925,6.058083333,4.77451875,4.942719298,5.154390625,6.092238095,5.230833333,5.668583333,5.349291667,6.160961538,5.642,5.222047619,4.961333333,5.717,6.446,5.87575,5.7342,6.030088235,5.229733333,5.2749,5.259708333,5.675657895,5.4585,5.794230769,6.306125,5.256114035
Sub06,5.654803924,5.65833619,5.776288531,5.720701621,5.729558205,5.783182536,5.801479114,5.946022484,5.749267855,5.892202909,5.824410708,5.745008742,5.787575038,5.941091416,5.977502584,5.942039561,6.063172076,6.102069962,6.036212576,5.97497404,5.900926335,6.053628278,6.061668151,6.191330798,6.108000154,5.93407472,6.065856599,6.128553268,6.117742284,6.136185504,5.939191884,6.014933931,5.92641256,6.12518293,6.192060116,6.183131064,6.170554046,6.051549772,6.093258452,5.980917852,6.029562471,6.075224619,6.024905515,6.210550364,6.102437161,6.088666866,6.097832744,6.190666068,6.188059761,6.207325534,6.057787886,6.20146913,6.233802318,6.215278415,6.052653201,6.014824605,5.986699378,6.023670971,5.986746986,6.119714626,6.125238636,6.02167994,6.010220039,6.052001464,6.010372479,5.96879401,5.967124644,5.94305884,6.029643145,6.079616978,6.041218082,6.018716362,6.004831706,6.005584703,5.983877777,5.853636548,5.963033387,5.922645114,5.979254151,5.999583744,6.025014877,5.844655287,5.862908374,5.972037542,5.943999081,5.907892735,5.974122133,6.086944167,5.936985303,6.006637849
Sub07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub08,4.972792744,5.016486161,5.105397471,5.116668681,5.255459517,5.510513365,5.390267945,5.25266659,5.323861719,5.313562958,5.3890992,5.320964133,5.327845338,5.171717729,5.266205507,5.51121085,5.524468221,5.541764004,5.531817997,5.658519371,5.572058943,5.671611963,5.678214177,5.675170912,5.700736228,5.568408395,5.705054384,5.568407201,5.582481519,5.643597577,5.645952504,5.668233971,5.72676349,5.68480567,5.653675114,5.667866766,5.634585371,5.671914954,5.695066632,5.742120449,5.727421882,5.717887494,5.71128842,5.704925606,5.713994437,5.646518014,5.790236788,5.712861916,5.71703902,5.745830764,5.7421534,5.714804313,5.765709321,5.682707256,5.652020577,5.607571822,5.591396198,5.607439685,5.815718881,5.707500845,5.631366555,5.53119159,5.640970482,5.650200275,5.693816892,5.71060424,5.6828961,5.615128839,5.604887058,5.662006892,5.745927109,5.723465001,5.842321463,5.694083745,5.533214189,5.522374519,5.510710688,5.450379311,5.587700274,5.568048804,5.502719768,5.569695013,5.532901757,5.57439881,5.48445169,5.39604017,5.374387899,5.490920795,5.59754237,5.648289146
Sub09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
