1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1.2867,2.598,4.1491,2.7788,NA,0.86901,1.0112,2.9228,2.7314,0.8077,1.3433,1.8963,1.4716,1.7342,1.1866,2.6911,2.7644,1.4424,1.6947,1.6233,1.4288,1.2531,2.1353,0.76922,1.1707,3.007,0.54692,1.2246,1.3055,1.0981,NA,3.1866,0.48555,1.0253,0.99216,2.182,1.3165,0.59609,0.88161,0.96671,2.9931,0.99292,0.30731,2.7683,0.98989,1.8942,1.1887,0.94787,0.62442,1.3933,1.4091,1.0515,0.47191,1.5841,1.1591,1.1065,1.6268,1.227,2.4878,1.4955,1.3823,1.1053,1.0016,3.4492,1.9079,0.88544,1.6581,1.0674,1.8832,3.4537,0.76426,0.94832,1.7515,2.5568,0.62413,1.3999,1.2595,1.4251,0.85797,0.37984,0.88138,2.0633,1.0385,1.164,0.91133,1.0887,1.0422,1.9068,0.88723,1.1268
1.2271,1.113,1.4131,1.6981,2.348,3.2478,NA,1.8834,3.6186,1.9353,2.1304,1.2762,1.3555,1.741,3.6783,2.4977,1.1951,1.2304,1.4048,1.205,1.2788,4.0303,1.1508,1.0458,1.9335,1.5852,1.2486,1.5472,1.3126,1.1079,2.0858,1.6534,0.82556,1.8528,1.2266,0.99288,2.4807,1.0962,1.3126,1.0932,1.6947,2.463,0.45434,1.7201,2.3377,3.6537,1.8652,2.2784,2.0993,4.1611,1.4705,1.2051,1.4642,1.1485,2.3714,3.1053,1.2394,2.7775,0.99441,2.2342,1.2886,1.1723,3.4522,1.6761,1.077,1.1521,1.737,1.008,2.2735,1.6272,2.073,1.7234,1.3735,1.2102,3.0716,1.7741,1.4886,2.0037,2.6161,1.5082,2.3687,1.1425,1.0024,1.2536,1.2614,1.0787,0.97166,0.98146,1.6938,1.0896
2.2145,0.75284,0.82578,0.52191,NA,0.54239,1.3324,1.3711,0.84531,0.50079,0.6742,0.71945,1.0706,1.4584,0.3879,0.53615,0.6898,0.49721,0.56248,0.43494,1.4475,0.61216,0.53695,0.41869,0.68608,0.52304,0.84345,0.47153,0.37241,0.38193,0.72212,0.78743,0.63036,0.33351,0.69832,0.3402,0.46096,1.0083,0.57714,0.9802,0.39116,0.61048,NA,0.5944,0.51077,0.61795,0.87484,0.56973,0.40743,0.64764,0.63869,0.62854,0.76683,0.37085,0.49398,0.39997,0.37886,0.44684,0.59261,0.57705,0.38088,0.31668,0.35698,0.36135,0.51753,0.30525,NA,0.51244,0.43663,0.43551,1.217,0.57154,0.72129,0.31085,0.58523,0.26834,0.29664,0.5045,0.62929,0.31065,0.67981,0.96332,0.69155,0.50418,0.2155,0.95332,0.69323,1.395,0.39501,0.46951
0.59214,1.2078,1.2157,0.92273,NA,0.63165,0.93859,1.46,0.94935,0.74882,1.6025,1.0262,0.65727,1.4147,1.1154,1.2773,0.55866,1.1233,0.96207,2.2802,0.44198,NA,1.5093,1.2966,2.2814,1.3775,0.61317,1.681,0.58373,2.1469,0.45247,1.1447,0.63113,0.56473,1.2193,0.97307,1.1635,1.3052,0.58922,1.4551,0.995,0.47744,0.45715,1.0518,2.8689,0.60901,0.70181,0.51909,0.78537,1.0617,1.0631,0.66158,0.73482,1.3904,0.46877,1.687,0.51301,0.38351,0.75965,0.79385,1.4849,1.6338,0.42374,1.1374,0.5872,0.56285,0.37647,0.31736,0.88675,0.42728,1.1047,0.40058,1.1809,0.44646,2.127,1.0901,0.42713,1.7112,0.69309,0.53453,1.424,0.44508,1.6278,0.59286,0.59532,1.2648,0.52218,1.7883,0.88025,0.6296
1.0643,1.6979,1.3997,3.2057,1.3978,0.74389,1.6085,1.4752,1.8575,2.9665,1.9523,2.847,1.3364,1.0918,0.64528,2.1615,0.73523,1.8689,2.0798,0.9779,2.3023,1.9835,1.405,0.91628,1.1964,0.94076,1.0253,1.4326,0.55707,1.2356,0.46247,NA,1.3869,0.90185,1.5874,2.7793,1.5791,1.0575,1.1032,2.0214,0.83037,0.53155,0.71203,1.3438,1.1337,1.8685,0.61295,1.1579,1.47,0.57674,0.46781,1.4778,1.5576,1.3584,1.1385,1.1998,1.7524,0.58281,1.2678,0.6131,2.4033,2.0846,1.0644,0.99111,0.48835,2.7042,0.99961,3.4154,1.1959,1.4917,1.5665,2.1805,0.87371,1.0565,0.88922,0.65529,1.3843,1.2923,0.40899,1.1895,0.38354,1.2179,2.3602,1.2551,1.3702,1.4036,0.99871,1.6421,1.1439,1.3694
2.4708,NA,1.8707,2.9737,2.4808,2.9908,2.3168,1.8899,1.2118,1.9177,1.5725,2.8767,1.3074,1.6205,1.6965,1.2605,1.7368,1.2254,2.1945,1.973,0.86065,1.9288,1.342,2.3704,1.1962,1.9931,1.261,1.4705,1.2966,1.7381,1.7728,2.5187,2.285,0.9762,0.54764,1.5623,1.4489,1.4684,1.5183,2.5282,1.1115,1.3962,2.3259,1.8087,0.99874,1.0278,1.1474,1.6178,1.3176,1.6962,1.7918,1.5534,0.91969,1.3238,1.7967,1.0753,1.0738,0.70659,1.854,1.5972,1.8661,2.0966,1.8377,2.4223,1.5515,1.7382,1.0413,1.5544,2.4825,1.6887,2.1528,1.1568,1.9375,1.1803,2.2955,1.4867,3.2228,1.5112,2.635,1.3432,1.4879,1.5125,1.874,1.4255,0.71905,2.055,0.80064,2.0871,1.7275,1.7092
1.5605,1.661,1.6834,3.3325,1.8942,1.787,3.5632,1.8761,1.3568,1.6651,1.3144,2.3232,1.8429,1.626,1.3075,2.664,1.4832,3.7542,1.6181,2.4355,1.7263,1.8538,1.2476,3.5364,2.2229,0.94232,4.7217,1.7745,1.6321,1.5293,1.7589,2.3764,1.3931,3.1883,2.637,2.2864,2.6489,0.90373,3.3207,1.6016,1.8953,1.7362,2.6941,3.1634,NA,1.8858,4.7965,1.2358,1.5091,1.0631,1.7021,3.8469,2.6104,1.8271,2.5297,3.0612,1.5017,2.326,3.0416,1.3452,1.4942,3.1479,2.5816,0.99198,2.2009,3.7903,2.0251,2.3798,1.0911,1.376,2.4314,1.4954,0.75294,2.9621,1.9081,1.6764,1.5709,1.227,2.6679,2.5974,1.1896,2.6668,2.133,0.77714,1.8511,1.9497,1.3005,0.79651,2.7852,1.2208
1.0367,0.48161,0.92437,0.73404,2.1145,1.4466,1.4424,1.3036,1.159,2.3522,0.90193,2.2205,1.0119,1.1871,0.99807,1.2882,0.79958,1.1636,0.736,NA,1.9988,1.7112,2.5928,0.89407,1.4177,1.2654,0.74023,0.81342,0.88888,0.99995,0.57973,0.79112,0.41488,0.66265,1.1184,0.52278,0.42325,0.46786,1.0291,1.0483,1.108,1.2515,0.5437,1.5503,0.7381,0.82471,0.68769,0.78182,0.65567,1.2558,0.3647,0.76843,1.6331,0.32399,0.47497,0.67607,0.32595,1.9885,2.0826,2.3421,0.53657,0.95544,1.601,0.50266,0.98145,0.80918,0.5894,1.1499,0.93347,1.2862,0.47431,0.43792,0.65794,0.50007,1.808,1.5578,0.36815,0.45311,0.43344,0.74203,0.64956,0.54355,1.3842,0.60206,0.30041,0.449,0.41077,1.1085,1.8144,1.7606
1.7225,2.5855,1.8184,1.7629,2.5258,NA,1.8087,1.704,2.2166,1.7864,1.2108,1.3225,1.4449,1.2205,1.1423,2.15,1.1976,1.1739,1.5654,1.5256,1.0701,1.1459,1.2827,2.885,1.0243,1.97,1.5368,2.6506,1.2193,1.0645,1.2677,0.99978,1.5909,0.82573,1.4892,1.0762,1.0049,1.3216,1.2902,2.1282,1.0009,1.0487,0.90246,1.8604,1.0782,1.397,0.89914,1.5289,1.463,1.9953,1.2336,2.0303,0.61734,1.6944,1.8107,0.73193,1.8246,2.1896,0.98371,1.8994,1.4684,1.0076,1.4895,1.8205,1.46,1.1717,1.348,1.3719,1.1861,0.64029,0.86419,1.4432,1.175,0.80862,1.3231,1.8401,1.2009,1.4432,0.96781,1.0854,0.70858,0.72628,0.81949,2.5605,0.78164,1.3379,0.78229,1.798,0.97338,1.4076
2.0099,2.4755,1.4685,2.9918,2.5913,3.7478,2.0927,3.2908,1.8306,2.1644,1.4315,1.8444,2.4093,1.0659,3.3606,3.1665,0.82963,1.5214,1.8015,1.5913,1.9934,1.6415,1.3556,2.6103,1.0364,1.3789,0.58676,1.4327,2.707,1.4063,2.004,1.4378,1.7896,1.0308,0.8722,0.74736,1.349,1.6868,1.5719,0.97987,1.664,2.0649,2.475,1.8945,1.5197,1.3143,1.6706,0.80491,1.6212,2.2651,0.68883,1.9605,1.4468,1.3579,2.4424,1.4277,0.40514,1.7375,2.2466,3.7324,1.4326,1.2008,1.4132,1.3697,1.5325,2.3063,1.9574,1.5752,1.6464,2.2753,1.7214,1.0648,0.58316,2.2438,0.87017,1.103,2.0331,1.0739,0.64356,0.5849,1.4633,2.1262,0.35514,1.1052,0.63212,2.2547,0.82801,2.02,1.4868,2.7021
