1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.3364,3.1206,1.1981,2.2689,2.5295,1.6695,1.4719,1.2082,1.3367,2.4231,3.2711,1.198,3.2687,1.5239,1.1567,1.3723,0.87143,2.7841,0.73529,3.318,1.7282,2.283,2.8387,0.93807,0.71873,2.3118,1.2763,1.4933,0.88281,1.6829
1.147,1.5012,1.4487,5.4704,2.6941,5.1362,4.2441,4.4973,2.5368,2.9753,1.5724,1.1579,3.72,1.0526,1.7169,3.2293,3.9352,1.4076,1.241,2.0882,4.1301,1.2455,1.2619,1.4997,1.3358,1.1967,1.5289,1.8418,1.4419,1.2458
0.66301,0.86866,1.4929,0.61645,0.6618,1.1696,0.59978,1.2138,0.91988,0.52099,2.7995,0.50432,2.4052,1.8653,0.95968,0.43663,NA,0.76078,0.87594,1.2736,1.8545,0.29683,0.50979,0.93602,1.0001,1.22,0.76276,0.87838,0.45976,0.46515
0.94509,1.382,1.4484,2.4606,2.0027,2.7017,1.2756,1.6219,1.981,1.368,1.5704,1.325,0.98562,0.62487,0.92738,0.78511,0.76991,1.0386,1.552,0.66602,0.78933,1.6411,1.1297,1.3099,1.7368,1.9867,0.95259,0.91966,1.2189,1.2147
2.7473,2.703,4.3044,1.8845,2.4398,1.6514,1.8892,1.112,2.8803,1.0777,0.72281,1.5546,0.64442,1.2664,1.0167,4.1022,0.78594,0.78231,0.933,1.6723,1.7563,1.0138,1.1507,0.59392,0.42722,1.2137,1.7538,1.1136,1.5636,1.4888
2.6189,3.1235,3.1669,2.0205,1.7049,1.1344,1.8316,1.9892,2.1857,1.8302,1.8148,1.828,0.50086,1.9309,3.2927,1.3495,1.3545,1.6987,1.9656,2.0313,0.90642,2.5116,2.1214,1.607,0.81681,1.832,1.8822,2.3911,2.5329,1.7953
3.038,2.7205,2.5202,4.036,2.6158,4.3336,1.5483,1.314,2.7157,1.4837,3.1335,3.023,2.5695,1.1272,3.2296,2.6809,1.1717,2.0743,3.8377,4.3149,0.88243,0.8595,0.90629,2.2576,1.1639,1.8966,2.462,2.3322,3.8343,2.0454
2.267,1.0428,0.87396,1.8619,1.5339,1.6659,2.7454,2.316,2.8873,1.4293,0.59053,0.53232,0.58918,0.8183,0.61599,0.90525,0.90095,0.91497,1.5477,0.72512,0.95464,1.4933,1.7176,0.6954,2.4674,0.94983,0.85678,2.5117,0.75338,1.3079
3.2634,1.6319,2.4174,1.8904,1.4193,0.92041,2.0131,0.87512,0.84575,2.58,3.1356,3.8764,1.3442,2.0713,1.7376,2.1172,3.4113,1.6801,1.0369,1.9704,1.8036,1.5023,1.0459,1.7988,1.6556,2.1419,0.91575,2.7963,1.0529,1.0568
1.5487,2.253,2.0861,3.0693,1.5193,2.743,2.2965,1.87,1.368,0.94149,1.4374,1.4681,0.55649,3.68,2.9512,1.9169,0.96922,2.2356,0.86338,2.4479,2.8558,1.5586,0.99339,0.62343,1.9697,2.4024,1.2047,0.60319,2.9561,0.717
1.8692,1.761,1.582,2.0843,1.8038,3.565,1.9049,1.0887,2.6166,2.3863,1.4925,0.6774,1.0162,1.7414,2.9357,0.6784,1.7295,0.71795,2.4076,1.8281,1.5888,1.8259,0.6766,4.1004,1.0776,1.3335,0.66616,1.3103,2.2238,NA
1.8879,1.5675,1.7168,2.457,2.2706,3.4343,1.9485,2.3626,2.1492,1.9058,2.3573,2.3755,2.297,1.0743,2.1841,2.225,2.1658,2.3756,2.3494,2.2054,1.3557,1.6811,1.4789,2.0273,1.5826,2.6635,1.9938,3.0268,1.5294,1.9192
0.2837,0.45256,1.6852,0.93784,0.96815,0.59492,0.5702,1.02,0.99614,0.47985,0.41828,0.74145,0.49944,0.37768,NA,0.41429,0.46702,0.79245,0.61561,0.53616,0.62654,0.39698,0.7409,0.69824,1.7108,0.59331,0.63136,0.51491,0.84143,1.0508
0.90791,2.3359,1.7975,1.7932,2.6771,2.1994,2.1306,2.1418,3.3147,2.7782,2.9737,2.8345,3.4082,1.3884,1.8519,1.895,3.1156,2.0068,1.0474,2.0407,2.2902,1.9454,2.0708,2.7182,2.0015,1.7061,1.8691,1.8178,2.0323,1.8304
2.3834,2.2894,1.9157,2.3733,2.2327,1.9185,2.5162,1.1897,0.98043,4.0052,2.0098,2.1474,0.83755,1.5989,1.9067,1.0073,3.5479,0.54802,1.2126,1.7581,2.194,1.3448,2.0711,2.0271,2.789,1.5283,1.0503,1.5406,0.37818,2.3535
